Категория,Позиция,Цена,Валюта,Объём,Описание,Файл,URL
Снеки,Картофель по-деревенски,195,₽,150 г,"Крупные дольки отборного картофеля, обжаренные во фритюре до золотистой корочки. Снаружи - аппетитный хруст, внутри - нежная мякоть. Приправлен ароматным миксом пряных трав и специй. Идеальная компания к любому блюду",Снеки/01 Картофель по-деревенски.jpg,https://avatars.mds.yandex.net/get-eda/17726510/15d0124b0d33e9dcc6eb7f3846a8ad79/orig
Снеки,Картофель фри,195,₽,150 г,"Легендарная классика: тонкие и длинные ломтики золотистого картофеля с идеальным хрустом. Мы обжариваем их до готовности и слегка присаливаем. Снаружи - аппетитная корочка, внутри - нежная текстура. Идеальный гарнир, который сочетается абсолютно со в",Снеки/02 Картофель фри.jpg,https://avatars.mds.yandex.net/get-eda/18531941/7d4ed6e5922026ff6ee615ecac30797a/orig
Снеки,Креветки,425,₽,120 г,"Отборные королевские креветки в воздушной и суперхрустящей панировке. Мы готовим их во фритюре до золотистого цвета, чтобы сохранить сочность и нежный вкус морепродуктов. Идеальная закуска для тех, кто хочет чего-то особенного",Снеки/03 Креветки.jpg,https://avatars.mds.yandex.net/get-eda/18012291/6331752a04b559eaf63cfa396c56d02f/orig
Снеки,Наггетсы,170,₽,110 г,"Пять кусочков нежного куриного филе в хрустящей золотистой панировке. Мы обжариваем их до идеального хруста, сохраняя сочность внутри. Отличный вариант для быстрого перекуса или дополнения к обеду",Снеки/04 Наггетсы.jpg,https://avatars.mds.yandex.net/get-eda/17726510/d668d6c3ab3e1e4f3d4a6ba0f1857ac8/orig
Снеки,Порционный соус,60,₽,25 г,Насыщенный соус на майонезной основе с добавлением ароматного чеснока и зелени,(нет фото),
Снеки,Сырные палочки,250,₽,120 г,"Горячая закуска для тех, кто любит Тот самый тянущийся сыр. В порции - 4 палочки из нежной моцареллы в хрустящей золотистой панировке. Мы обжариваем их во фритюре до идеального состояния, чтобы снаружи был аппетитный хруст, а внутри - много расплавле",Снеки/06 Сырные палочки.jpg,https://avatars.mds.yandex.net/get-eda/17726510/4a0f5ea426f38672829ba66a05c11a55/orig
Напитки холодные,Bon aqua 500ml,108,₽,500 мл,,Напитки холодные/01 Bon aqua 500ml.jpg,https://avatars.mds.yandex.net/get-eda/18155812/5002a0aad0c8b6626b3257f9b1fa2f1b/orig
Напитки холодные,Pulpy апельсин,175,₽,500 мл,,Напитки холодные/02 Pulpy апельсин.jpg,https://avatars.mds.yandex.net/get-eda/18155812/3af86015c9fff86f924bf45540426e3c/orig
Напитки холодные,Rich tea черный с лимоном,175,₽,500 мл,,Напитки холодные/03 Rich tea черный с лимоном.jpg,https://avatars.mds.yandex.net/get-eda/17783893/66ccd908fa2071c0fd88787347d1b0f0/orig
Напитки холодные,Rich сок,175,₽,300 мл,,Напитки холодные/04 Rich сок.jpg,https://avatars.mds.yandex.net/get-eda/17726510/60f912b40f4bc07e3fe8518f70dc5458/orig
Напитки холодные,Добрый кола 0.5,165,₽,500 мл,,Напитки холодные/05 Добрый кола 0.5.jpg,https://avatars.mds.yandex.net/get-eda/17739317/8f8656c3733a5946ffc5535ed9fdb030/orig
Напитки холодные,Добрый кола 330ml,150,₽,330 мл,,Напитки холодные/06 Добрый кола 330ml.jpg,https://avatars.mds.yandex.net/get-eda/18155812/7599fef3a9f680acf3522161754a251b/orig
Хот-дог,Донер,320,₽,261 г,"Сочное обжаренное куриное филе в сочетании со свежими томатами, хрустящим огурцом и капелькой лука. Мы добавили немного картофеля фри для сытости и два вида соусов: фирменный чесночный для пикантности и томатный для сочности. Все это в мягкой, слегка",Хот-дог/01 Донер.jpg,https://avatars.mds.yandex.net/get-eda/18644967/ae2c254f106814a37bfe0784f150f140/orig
